"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[i] (m/s)"
null,null,0.93692469,33.71021426637384
null,null,0.92899171,15.721480482275059
null,null,0.92062677,-10.776789744079764
null,null,0.91183829,-30.400186173795603
null,null,0.90263513,-1.1125320989483605
null,null,0.89302655,18.635383949457466
null,null,0.88302222,11.070331788127913
null,null,0.87263222,-2.1098114957350935
null,null,0.86186702,-15.40063873991508
null,null,0.85073744,-5.4789296409928845
null,null,0.83925471,-4.649317579325758
null,null,0.82743037,-9.918976720668505
null,null,0.81527633,-18.88964797443558
null,null,0.80280484,0.21454196676984585
null,null,0.79002845,10.904835124907295
null,null,0.77696003,2.1507676887644886
null,null,0.76361273,-2.4415987169153177
null,null,0.75,2.7377231767199004
null,null,0.73613554,-0.7387500751830046
null,null,0.72203331,7.556005250225689
null,null,0.70770751,8.237306907720075
null,null,0.69317256,-2.931218143771535
null,null,0.67844311,4.446559162603219
null,null,0.66353398,1.575107049273468
null,null,0.64846019,6.481561993519874
null,null,0.63323691,10.760567302981018
null,null,0.61787947,4.096543471744945
null,null,0.60240333,-2.3075653073306874
null,null,0.58682409,7.781825620704785
null,null,0.57115742,1.5391506310905478
null,null,0.5554191,5.9435131116405
null,null,0.53962498,5.715915361964328
null,null,0.52379096,7.425088738461725
null,null,0.50793298,8.606612778778235
null,null,0.49206702,9.995951891701033
null,null,0.47620904,11.321528098037664
null,null,0.46037502,12.66338227001023
null,null,0.4445809,14.005449212305107
null,null,0.42884258,15.338875103221392
null,null,0.41317591,16.625913762214747
null,null,0.39759667,17.93097544801555
null,null,0.38212053,19.263600907642523
null,null,0.36676309,20.592661538181716
null,null,0.35153981,21.923499914206047
null,null,0.33646602,23.32478615086622
null,null,0.32155689,24.770036802349647
null,null,0.30682744,26.30088999352181
null,null,0.29229249,27.60217869971784
null,null,0.27796669,29.211497715177288
null,null,0.26386446,34.777691096232275
null,null,0.25,36.954436383248215
null,null,0.23638727,38.631516280638216
null,null,0.22303997,40.400505645806795
null,null,0.20997155,43.168418700235826
null,null,0.19719516,46.152239635536866
null,null,0.18472367,49.18570104507448
null,null,0.17256963,52.403315436694896
null,null,0.16074529,55.63798034403605
null,null,0.14926256,58.76557252033397
null,null,0.13813298,62.113716133719876
null,null,0.12736778,65.60484993720672
null,null,0.11697778,68.45741612718656
null,null,0.10697345,71.17751626085922
null,null,0.09736487,76.63867842457105
null,null,0.08816171,87.78699643101193
null,null,0.07937323,103.08251411552794
null,null,0.07100829,104.2107576748919
null,null,0.06307531,95.29756372835006
null,null,0.05558228,78.66101872995127
null,null,0.04853673,133.44275220588722
null,null,0.04194577,171.02358543383738
null,null,0.03581603,179.38927651356317
null,null,0.03015369,188.17472167873555
null,null,0.02496444,198.9874781550806
null,null,0.02025351,205.20564777593577
null,null,0.01602565,204.69003580042352
null,null,0.01228511,195.92400057605983
null,null,0.00903565,203.86020446783508
