"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[j] (m/s)"
null,null,0.49206702,8.634040300155174
null,null,0.47620904,8.232276316993604
null,null,0.46037502,7.783538461948393
null,null,0.4445809,7.28460183791501
null,null,0.42884258,6.735342010544911
null,null,0.41317591,6.138723176499561
null,null,0.39759667,5.498735384733827
null,null,0.38212053,4.815025802522084
null,null,0.36676309,4.083549948526347
null,null,0.35153981,3.3212342094581824
null,null,0.33646602,2.477070692197011
null,null,0.32155689,1.5332148980190472
null,null,0.30682744,0.5365916839406545
null,null,0.29229249,-0.5293301670272775
null,null,0.27796669,-1.6496930775156704
null,null,0.26386446,-3.0950796948895802
null,null,0.25,-4.178910350087731
null,null,0.23638727,-5.569644402502511
null,null,0.22303997,-7.098898356795208
null,null,0.20997155,-8.737770736498629
null,null,0.19719516,-10.468543141124467
null,null,0.18472367,-12.264739099768455
null,null,0.17256963,-14.145281181581526
null,null,0.16074529,-16.16599698973616
null,null,0.14926256,-18.39973653039636
null,null,0.13813298,-20.898461777441565
null,null,0.12736778,-23.66119722488647
null,null,0.11697778,-26.377706585245463
null,null,0.10697345,-29.216437567468756
null,null,0.09736487,-32.39433021021758
null,null,0.08816171,-36.16328326910728
null,null,0.07937323,-40.43778957053856
null,null,0.07100829,-44.207007545868265
null,null,0.06307531,-47.40226840651691
null,null,0.05558228,-53.27150521588172
null,null,0.04853673,-61.453251633752316
null,null,0.04194577,-66.74571326687237
null,null,0.03581603,-72.47758331286566
null,null,0.03015369,-79.9085591766993
null,null,0.02496444,-87.42560076272282
null,null,0.02025351,-91.9367663021578
null,null,0.01602565,-97.38341137808544
null,null,0.01228511,-105.38319934114558
null,null,0.00903565,-170.0450015539477
null,null,0.00628056,-173.62263957256576
null,null,0.0040225899999999995,-173.95213983934465
null,null,0.00226404,-139.87006576370058
null,null,0.00100666,-28.53491817802153
null,null,2.517299999999999E-4,-30.28681794064391
null,null,0.0,27.938520717875594
null,null,2.5173000000000003E-4,29.881538523028038
null,null,0.00100666,27.938520717875594
null,null,0.00226404,140.1467980159791
null,null,0.00402259,174.57582195911635
null,null,0.006280560000000001,174.22344176080833
null,null,0.00903565,170.5841661979049
null,null,0.01228511,105.62415129286845
null,null,0.01602565,97.58058971740209
null,null,0.02025351,92.1044648911817
null,null,0.02496444,87.56253081605266
null,null,0.03015369,80.03250629901916
null,null,0.03581603,72.59220578954401
null,null,0.04194577,66.84366168927875
null,null,0.04853673,61.535514265044505
null,null,0.05558228,53.34041788750195
null,null,0.06307531,47.464955977201065
null,null,0.07100829,44.26422137594335
null,null,0.07937323,40.48880752203076
null,null,0.08816171,36.212077909933846
null,null,0.09736487,32.43543044070243
null,null,0.10697345,29.255237912939382
null,null,0.11697778,26.411090965338374
null,null,0.12736778,23.64003155757405
null,null,0.13813298,20.912071083614784
null,null,0.14926256,18.427028991956487
