"Velocity Table: X (m)","Velocity Table: Y (m)","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Absolute Pressure (Pa)"
0.00628056,-0.0136345,0.00628056,114295.58312591758
0.0040225899999999995,-0.01099083,0.0040225899999999995,122431.22617602968
0.00226404,-0.008304,0.00226404,137585.4663177732
0.00100666,-0.0055757,0.00100666,152866.84898257186
2.517299999999999E-4,-0.00280732,2.517299999999999E-4,152773.61684805978
0.0,0.0,0.0,153226.71710511314
2.5173000000000003E-4,0.0028073200000000003,2.5173000000000003E-4,153130.67433101457
0.00100666,0.0055757,0.00100666,153226.71710511314
0.00226404,0.008304,0.00226404,138507.29864033833
0.00402259,0.01099083,0.00402259,123438.68708866985
0.006280560000000001,0.0136345,0.006280560000000001,115185.57584427939
0.00903565,0.01623309,0.00903565,107803.64966280259
0.01228511,0.01878444,0.01228511,101215.01743569938
0.01602565,0.02128616,0.01602565,96265.84096380559
0.02025351,0.02373567,0.02025351,92435.51906383975
0.02496444,0.02613021,0.02496444,89421.54354294897
0.03015369,0.02846688,0.03015369,87052.54200645379
0.03581603,0.03074264,0.03581603,85260.89059646713
0.04194577,0.03295438,0.04194577,84013.427103207
0.04853673,0.03509892,0.04853673,82888.70573876296
0.05558228,0.03717304,0.05558228,81102.31099907766
0.06307531,0.03917353,0.06307531,80777.9644051098
0.07100829,0.04109721,0.07100829,80578.52589280807
0.07937323,0.04294098,0.07937323,80176.82183820663
0.08816171,0.04470182,0.08816171,79765.2101888377
0.09736487,0.04637683,0.09736487,79524.0269022968
0.10697345,0.04796328,0.10697345,79428.19810466784
0.11697778,0.04945862,0.11697778,79409.65034269924
0.12736778,0.0508605,0.12736778,79431.60608206678
0.13813298,0.05216679,0.13813298,79506.56084203621
0.14926256,0.05337563,0.14926256,79633.92744071587
0.16074529,0.05448542,0.16074529,79795.83902071614
0.17256963,0.05549483,0.17256963,79992.81326841762
0.18472367,0.05640284,0.18472367,80223.3913932611
0.19719516,0.05720873,0.19719516,80497.12141193317
0.20997155,0.05791208,0.20997155,80793.12572137016
0.22303997,0.0585128,0.22303997,81121.23103872847
0.23638727,0.0590111,0.23638727,81477.80149408108
0.25,0.0594075,0.25,81899.70636477099
0.26386446,0.05970283,0.26386446,82229.42010569075
0.27796669,0.05989823,0.27796669,82554.9324549519
0.29229249,0.0599951,0.29229249,83032.29533838594
0.30682744,0.05999514,0.30682744,83476.40193995698
0.32155689,0.0599003,0.32155689,83925.12158230884
0.33646602,0.05971277,0.33646602,84381.69279327954
0.35153981,0.05943498,0.35153981,84846.61889069191
0.36676309,0.05906955,0.36676309,85318.29609916582
0.38212053,0.05861932,0.38212053,85792.9166731918
0.39759667,0.05808726,0.39759667,86271.78501454735
0.41317591,0.05747651,0.41317591,86754.86543364488
