"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[i] (m/s)"
null,null,0.91183829,97.54866022171991
null,null,0.90263513,99.16081435474496
null,null,0.89302655,100.66527854023627
null,null,0.88302222,102.08024963431944
null,null,0.87263222,103.46634330761967
null,null,0.86186702,104.80275822398619
null,null,0.85073744,106.08167721230471
null,null,0.83925471,107.3440752826704
null,null,0.82743037,108.6083166747813
null,null,0.81527633,109.92961142529929
null,null,0.80280484,111.07227852624023
null,null,0.79002845,112.2306273870421
null,null,0.77696003,113.52357402737775
null,null,0.76361273,114.88602092861744
null,null,0.75,116.01580951513398
null,null,0.73613554,116.9665657047114
null,null,0.72203331,118.55783549230502
null,null,0.70770751,119.81560139259936
null,null,0.69317256,120.8596172418676
null,null,0.67844311,122.12731237379207
null,null,0.66353398,123.22877103576728
null,null,0.64846019,124.29813948544617
null,null,0.63323691,125.31102133942211
null,null,0.61787947,126.42168868953432
null,null,0.60240333,127.5636026459521
null,null,0.58682409,128.80170768046358
null,null,0.57115742,130.17195913341578
null,null,0.5554191,131.72496142953045
null,null,0.53962498,133.40431260506503
null,null,0.52379096,135.26127486176097
null,null,0.50793298,137.18015122976934
null,null,0.49206702,139.1575335990764
null,null,0.47620904,141.1028085101003
null,null,0.46037502,142.91943625591426
null,null,0.4445809,144.56407134147344
null,null,0.42884258,146.03912492977395
null,null,0.41317591,147.42525076385508
null,null,0.39759667,148.8724076811418
null,null,0.38212053,150.48810840306191
null,null,0.36676309,152.35423192736008
null,null,0.35153981,154.45463265316502
null,null,0.33646602,156.69848034875278
null,null,0.32155689,158.89448099445818
null,null,0.30682744,160.83934898566483
null,null,0.29229249,162.31026807468592
null,null,0.27796669,162.86760341174545
null,null,0.26386446,165.28046245165217
null,null,0.25,166.62377677933367
null,null,0.23638727,167.83053351958557
null,null,0.22303997,170.02300919930423
null,null,0.20997155,172.36759359891226
null,null,0.19719516,174.34070075508893
null,null,0.18472367,175.6371334551741
null,null,0.17256963,176.53231200110605
null,null,0.16074529,177.58601679986887
null,null,0.14926256,179.31912452792358
null,null,0.13813298,181.75981317678168
null,null,0.12736778,184.13338741335227
null,null,0.11697778,185.57745272020153
null,null,0.10697345,186.36928255467382
null,null,0.09736487,187.39003668601194
null,null,0.08816171,189.80390860564646
null,null,0.07937323,192.92763213203358
null,null,0.07100829,191.93206672287067
null,null,0.06307531,190.14755330042613
null,null,0.05558228,190.78700147681542
null,null,0.04853673,195.92820490329416
null,null,0.04194577,195.59717308075332
null,null,0.03581603,191.51927566307617
null,null,0.03015369,189.36118994284732
null,null,0.02496444,186.26346213387345
null,null,0.02025351,177.28897732518672
null,null,0.01602565,166.65872498287501
null,null,0.01228511,156.77832961766813
null,null,0.00903565,194.06013520213168
null,null,0.00628056,164.11531906092915
null,null,0.0040225899999999995,127.60222463203661
null,null,0.00226404,70.22711300613592
null,null,0.00100666,12.887347155986443
null,null,2.517299999999999E-4,17.30071068697071
null,null,0.0,12.878602204539918
null,null,2.5173000000000003E-4,17.362681118473095
null,null,0.00100666,12.878602204539918
null,null,0.00226404,70.42575764401874
null,null,0.00402259,128.07604499692098
null,null,0.006280560000000001,164.6856494812833
null,null,0.00903565,194.67256772664683
null,null,0.01228511,157.150670667658
null,null,0.01602565,166.9915081133678
null,null,0.02025351,177.61359977425636
null,null,0.02496444,186.55438189577544
null,null,0.03015369,189.65208338291293
null,null,0.03581603,191.81974585261798
null,null,0.04194577,195.88000793522107
null,null,0.04853673,196.19083677748625
null,null,0.05558228,191.03165903157156
null,null,0.06307531,190.3994779800177
null,null,0.07100829,192.18204940337418
null,null,0.07937323,193.1734519083262
null,null,0.08816171,190.04260865242372
null,null,0.09736487,187.62761743847386
null,null,0.10697345,186.63896321145722
null,null,0.11697778,185.83114548594446
null,null,0.12736778,184.33466563688765
