"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[j] (m/s)"
null,null,0.99371944,-9.354642055161309
null,null,0.99096435,-9.354642055161309
null,null,0.98771489,-9.354642055161309
null,null,0.98397435,-9.354642055161309
null,null,0.97974649,0.12484405585490314
null,null,0.97503556,0.12484405585490314
null,null,0.96984631,-4.51284044348405
null,null,0.96418397,-4.51284044348405
null,null,0.95805423,-4.197253832165655
null,null,0.95146327,-7.153297011092364
null,null,0.94441772,-1.57411163154846
null,null,0.93692469,4.180716198927029
null,null,0.92899171,2.2977343536518573
null,null,0.92062677,-1.1956101575664122
null,null,0.91183829,-4.109903637758203
null,null,0.90263513,-0.48308408227704946
null,null,0.89302655,2.0153539045575686
null,null,0.88302222,1.4685737546452562
null,null,0.87263222,0.025963562170489535
null,null,0.86186702,-2.188467094791641
null,null,0.85073744,-0.8321052907873476
null,null,0.83925471,-0.6221313541986505
null,null,0.82743037,-1.0395113288346687
null,null,0.81527633,-2.2652018091422583
null,null,0.80280484,-0.13486569266523438
null,null,0.79002845,1.1745537579837915
null,null,0.77696003,0.3822739894531038
null,null,0.76361273,-0.30405208942461187
null,null,0.75,0.2816220920300036
null,null,0.73613554,0.02491107505509224
null,null,0.72203331,0.5293377899561587
null,null,0.70770751,0.912267148516317
null,null,0.69317256,-0.31934142249734626
null,null,0.67844311,0.38952863627796047
null,null,0.66353398,0.176394896986457
null,null,0.64846019,0.49386323055953524
null,null,0.63323691,0.9785681682274697
null,null,0.61787947,0.4241544104792914
null,null,0.60240333,-0.35071587793656506
null,null,0.58682409,0.655219358081374
null,null,0.57115742,0.06997085369158114
null,null,0.5554191,0.44139902961747496
null,null,0.53962498,0.3944504264106936
null,null,0.52379096,0.49883712024287885
null,null,0.50793298,0.5519568940399856
null,null,0.49206702,0.6097094778972112
null,null,0.47620904,0.6511718959152089
null,null,0.46037502,0.6819783991351833
null,null,0.4445809,0.6999697628512631
null,null,0.42884258,0.7048693657694061
null,null,0.41317591,0.6953701373264524
null,null,0.39759667,0.6700492277314415
null,null,0.38212053,0.6465378216147439
null,null,0.36676309,0.5939067791227353
null,null,0.35153981,0.5077441941401258
null,null,0.33646602,0.39243903764121557
null,null,0.32155689,0.24120611591831195
null,null,0.30682744,0.09789484755925928
null,null,0.29229249,-0.07300904840421207
null,null,0.27796669,-0.2562751351071253
null,null,0.26386446,-0.5660940619264029
null,null,0.25,-0.7649211745968962
null,null,0.23638727,-1.033774978149121
null,null,0.22303997,-1.3469833972125613
null,null,0.20997155,-1.6769757817286897
null,null,0.19719516,-1.969143640559624
null,null,0.18472367,-2.264919603659616
null,null,0.17256963,-2.5703516580337475
null,null,0.16074529,-2.8543323573866974
null,null,0.14926256,-3.103154792737044
null,null,0.13813298,-3.3067530522101745
null,null,0.12736778,-3.7124584043907256
null,null,0.11697778,-4.1459058819643815
null,null,0.10697345,-5.4258816232830895
null,null,0.09736487,-6.3900899134248546
null,null,0.08816171,-8.765915898364025
null,null,0.07937323,-12.139166453157092
null,null,0.07100829,-13.378862242303182
null,null,0.06307531,-12.438169990533744
null,null,0.05558228,-11.06827541680022
null,null,0.04853673,-33.09272393353419
null,null,0.04194577,-48.453487722219926
null,null,0.03581603,-57.4609276259061
null,null,0.03015369,-69.12620417347618
null,null,0.02496444,-82.82229362298085
null,null,0.02025351,-95.32928597805355
null,null,0.01602565,-108.32149744126058
null,null,0.01228511,-122.15333113642127
null,null,0.00903565,-175.09822630021947
null,null,0.00628056,-178.46306502069004
null,null,0.0040225899999999995,-180.0545604415755
null,null,0.00226404,-143.0551390718833
null,null,0.00100666,-32.35711071068472
null,null,2.517299999999999E-4,-33.47373775762456
null,null,0.0,25.860741271177208
null,null,2.5173000000000003E-4,28.423152545803262
null,null,0.00100666,25.860741271177208
null,null,0.00226404,139.97696103307396
null,null,0.00402259,178.35873656035986
null,null,0.006280560000000001,177.2263674579692
null,null,0.00903565,174.0846908888749
null,null,0.01228511,122.44967078030378
null,null,0.01602565,108.61038935272198
null,null,0.02025351,95.51687043572605
null,null,0.02496444,83.21752145097102
null,null,0.03015369,69.60061738436114
null,null,0.03581603,57.99109783289015
null,null,0.04194577,49.08477960404664
null,null,0.04853673,33.88706482045591
null,null,0.05558228,11.187710839369352
null,null,0.06307531,12.623615126325856
null,null,0.07100829,13.518842549660537
null,null,0.07937323,12.313341081851833
null,null,0.08816171,8.932839426132377
null,null,0.09736487,6.4489906461354085
null,null,0.10697345,5.385894850711945
null,null,0.11697778,4.155497089140067
null,null,0.12736778,3.6591611999037608
null,null,0.13813298,3.2965901787913543
null,null,0.14926256,3.0792034562926145
null,null,0.16074529,2.8269831339216855
null,null,0.17256963,2.5512861607455153
null,null,0.18472367,2.2482784502782853
null,null,0.19719516,1.9475059131060175
null,null,0.20997155,1.6614322454782355
null,null,0.22303997,1.3487125101857516
null,null,0.23638727,1.0375633349671447
null,null,0.25,0.7634813088598373
null,null,0.26386446,0.5609388489537408
null,null,0.27796669,0.2532233842181323
null,null,0.29229249,0.06849000662726076
null,null,0.30682744,-0.10450471085196224
