"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Pressure (Pa)"
null,null,1.0,11181.982883313598
null,null,0.99974827,11181.982883313598
null,null,0.99899334,11181.982883313598
null,null,0.99773596,11181.982883313598
null,null,0.99597741,11181.982883313598
null,null,0.99371944,9940.806928653605
null,null,0.99096435,9940.806928653605
null,null,0.98771489,9940.806928653605
null,null,0.98397435,9940.806928653605
null,null,0.97974649,8925.340620553137
null,null,0.97503556,8925.340620553137
null,null,0.96984631,7532.51179521314
null,null,0.96418397,7532.51179521314
null,null,0.95805423,6481.032947744781
null,null,0.95146327,5694.408237661989
null,null,0.94441772,5093.414099274662
null,null,0.93692469,4483.95825412849
null,null,0.92899171,3884.6252499362163
null,null,0.92062677,3294.185201965347
null,null,0.91183829,2712.75430265311
null,null,0.90263513,2143.3258487424578
null,null,0.89302655,1593.2722566256257
null,null,0.88302222,1054.7862218642053
null,null,0.87263222,523.8981097800716
null,null,0.86186702,8.069134465799339
null,null,0.85073744,-496.27034385738443
null,null,0.83925471,-993.9680145690531
null,null,0.82743037,-1484.4986295927226
null,null,0.81527633,-1973.9971814410533
null,null,0.80280484,-2411.489491781093
null,null,0.79002845,-2889.7485433412485
null,null,0.77696003,-3343.511373806913
null,null,0.76361273,-3827.3652076802023
null,null,0.75,-4283.490299281685
null,null,0.73613554,-4697.083125479875
null,null,0.72203331,-5202.434137995528
null,null,0.70770751,-5657.395034434075
null,null,0.69317256,-6098.214926378696
null,null,0.67844311,-6570.639711256515
null,null,0.66353398,-7018.309504102884
null,null,0.64846019,-7471.982666256885
null,null,0.63323691,-7913.515300935188
null,null,0.61787947,-8371.30160985184
null,null,0.60240333,-8831.696697490193
null,null,0.58682409,-9287.383917953366
null,null,0.57115742,-9754.174311307697
null,null,0.5554191,-10222.708785472612
null,null,0.53962498,-10692.486802312496
null,null,0.52379096,-11167.024220520938
null,null,0.50793298,-11640.637453942521
null,null,0.49206702,-12119.53182053785
null,null,0.47620904,-12599.00210648509
null,null,0.46037502,-13075.067034136066
null,null,0.4445809,-13553.540468350104
null,null,0.42884258,-14031.799478476669
null,null,0.41317591,-14505.919250342224
null,null,0.39759667,-14982.279226065111
null,null,0.38212053,-15458.898616827253
null,null,0.36676309,-15933.350070060855
null,null,0.35153981,-16402.623552556768
null,null,0.33646602,-16865.464492134426
null,null,0.32155689,-17316.514413041015
null,null,0.30682744,-17755.70664515756
null,null,0.29229249,-18182.810673027117
null,null,0.27796669,-18615.808788190196
null,null,0.26386446,-19005.257334402067
null,null,0.25,-19347.979322311887
null,null,0.23638727,-19748.599030272006
null,null,0.22303997,-20099.46125035525
null,null,0.20997155,-20426.346591030357
null,null,0.19719516,-20724.41850972773
null,null,0.18472367,-20981.02385022842
null,null,0.17256963,-21214.05857880739
null,null,0.16074529,-21413.810992221803
null,null,0.14926256,-21583.938181806116
null,null,0.13813298,-21724.190890372694
null,null,0.12736778,-21789.97562188822
null,null,0.11697778,-21780.66669807376
null,null,0.10697345,-21731.67419389314
null,null,0.09736487,-21616.692662635094
null,null,0.08816171,-21429.800897390356
